rank_2018,visa_free_score_2018,rank_2017,visa_free_score_2017,rank_2016,visa_free_score_2016,rank_2015,visa_free_score_2015,Country_name
97,30,94,24,95,23,95,24,Afghanistan
43,111,48,97,45,93,44,94,Albania
76,59,78,48,77,47,78,47,Algeria
13,147,18,140,18,137,20,138,Andorra
80,55,77,49,81,43,81,44,Angola
25,132,28,125,26,123,26,124,Antigua and Barbuda
11,154,16,145,15,140,16,142,Argentina
67,68,69,58,66,58,66,60,Armenia
5,161,6,156,6,152,8,151,Australia
3,163,4,158,5,153,4,155,Austria
64,71,65,63,63,61,64,62,Azerbaijan
20,140,23,132,22,129,23,130,Bahamas
53,84,55,76,54,72,56,72,Bahrain
90,44,88,36,89,35,88,37,Bangladesh
16,144,21,136,21,131,22,132,Barbados
57,79,60,70,57,67,60,67,Belarus
3,163,4,158,4,154,3,156,Belgium
48,91,52,85,49,82,49,83,Belize
71,64,69,58,69,55,69,57,Benin
74,61,75,51,76,48,76,49,Bhutan
57,79,60,70,57,67,61,66,Bolivia
41,113,47,101,44,98,43,98,Bosnia and Herzegovina
58,78,58,72,56,69,59,68,Botswana
11,154,15,146,12,143,17,141,Brazil
17,143,20,137,20,134,21,136,Brunei
8,157,14,147,14,141,14,144,Bulgaria
73,62,72,54,72,52,73,53,Burkina Faso
82,53,80,46,82,42,83,42,Burundi
77,58,76,50,75,49,75,51,Cambodia
84,51,80,46,81,43,81,44,Cameroon
3,163,5,157,6,152,6,153,Canada
65,70,65,63,61,63,65,61,Cape Verde
82,53,80,46,80,44,79,46,Central African Republic
81,54,77,49,76,48,77,48,Chad
11,154,16,145,17,138,18,140,Chile
61,75,65,63,67,56,71,54,China
34,122,42,108,39,104,40,104,Colombia
77,58,75,51,77,47,78,47,Comoros
85,49,81,45,81,43,82,43,Congo
87,47,83,43,85,39,86,39,Congo (Dem. Rep.)
23,134,30,123,28,121,29,121,Costa Rica
72,63,71,55,70,54,70,56,Cote d'Ivoire (Ivory Coast)
10,155,14,147,14,141,17,141,Croatia
64,71,66,62,64,60,65,61,Cuba
9,156,13,149,12,143,12,147,Cyprus
4,162,7,155,8,150,7,152,Czech Republic
2,164,3,159,4,154,3,156,Denmark
83,52,81,45,84,40,83,42,Djibouti
32,124,36,116,34,111,36,112,Dominica
65,70,65,63,72,52,74,52,Dominican Republic
49,89,53,80,52,75,54,74,Ecuador
79,56,76,50,75,48,76,49,Egypt
32,124,38,114,35,110,38,108,El Salvador
79,56,78,48,81,43,80,45,Equatorial Guinea
89,45,86,38,88,36,87,38,Eritrea
7,159,11,151,11,146,12,147,Estonia
60,76,61,69,60,64,61,66,Eswatini
89,45,85,39,90,34,90,35,Ethiopia
50,88,53,80,53,74,52,76,Fiji
2,164,3,159,3,155,2,157,Finland
2,164,3,159,3,155,2,157,France
76,59,73,53,76,48,76,49,Gabon
64,71,64,65,61,63,62,65,Gambia
39,115,45,105,57,67,59,68,Georgia
1,165,1,161,1,157,1,158,Germany
68,67,68,59,67,57,65,61,Ghana
3,163,6,156,7,151,5,154,Greece
29,128,32,121,32,115,33,117,Grenada
31,125,39,113,37,107,38,108,Guatemala
75,60,71,55,70,54,71,55,Guinea
78,57,76,50,77,47,76,49,Guinea-Bissau
52,85,54,78,53,74,53,75,Guyana
74,61,71,55,72,52,74,52,Haiti
31,125,38,114,35,110,37,111,Honduras
12,149,16,145,16,139,18,140,Hong Kong
4,162,9,153,8,150,7,152,Hungary
5,161,9,153,8,150,9,150,Iceland
69,66,72,54,78,46,77,48,India
61,75,62,68,67,57,70,56,Indonesia
91,42,89,35,88,36,89,36,Iran
96,33,93,27,93,28,93,29,Iraq
3,163,5,157,6,152,5,154,Ireland
15,145,19,139,19,136,20,138,Israel
2,164,3,159,4,154,3,156,Italy
51,87,54,78,52,76,51,77,Jamaica
3,163,4,158,4,154,5,154,Japan
79,56,79,47,78,46,77,48,Jordan
56,80,60,70,56,69,59,68,Kazakhstan
